,Series
0,machine_000020967708
1,machine_000020967726
2,machine_000021206657
3,machine_000021214323
4,machine_000021219858
5,machine_000021225087
6,machine_000021243991
7,machine_000021243998
8,machine_000021247078
9,machine_000021263130
10,machine_000021306000
11,machine_000021345135
12,machine_000021350938
13,machine_000021375455
14,machine_000021393405
15,machine_000021399559
16,machine_000021400965
17,machine_000021400972
18,machine_000021412989
19,machine_000021430421
20,machine_000021430422
21,machine_000021473966
22,machine_000021532186
23,machine_000021556002
24,machine_000021576194
25,machine_000021952748
26,machine_000022305521
27,machine_000022498955
28,machine_000023018749
29,machine_000023033670
30,machine_000023036349
31,machine_000023285637
32,machine_000026006751
33,machine_000029042847
34,machine_000100805214
35,machine_001573345799
